participant_id_week	richness
U572_week3	94
U573_week1	101
U574_week1	114
U574_week3	136
U575_week1	122
U575_week3	117
U576_week1	108
U576_week3	116
U577_week1	130
U577_week3	118
U578_week1	159
U578_week3	131
U579_week1	99
U579_week3	101
U580_week1	136
U581_week1	98
U581_week3	86
U582_week1	83
U582_week3	94
U583_week1	117
U583_week3	77
U584_week1	108
U584_week3	94
U585_week1	131
U586_week1	133
U586_week3	110
U587_week1	80
U587_week3	83
U588_week1	95
U588_week3	84
U589_week1	94
U589_week3	67
U600_week1	110
U600_week3	102
U602_week1	141
U602_week3	136
U603_week1	133
U603_week3	126
U605_week1	147
U605_week3	167
U606_week1	119
U606_week3	116
U607_week1	147
U607_week3	125
U608_week1	123
U608_week3	126
U610_week1	113
U610_week3	117
U611_week1	109
U611_week3	90
U612_week1	97
U612_week3	83
U613_week1	106
U615_week1	89
U615_week3	115
U616_week1	141
U616_week3	168
U617_week1	93
U617_week3	90
U618_week1	100
U618_week3	106
U619_week1	118
U619_week3	113
U620_week1	173
U620_week3	134
U621_week1	151
U621_week3	167
U622_week1	148
U623_week1	141
U623_week3	140
U624_week1	117
U624_week3	111
U625_week1	153
U625_week3	190
U626_week1	118
U626_week3	113
U627_week1	91
U627_week3	107
U628_week1	77
U628_week3	75
U629_week1	132
U629_week3	88
U630_week1	113
U630_week3	95
U631_week1	124
U631_week3	117
U633_week1	137
U633_week3	144
U634_week1	105
U634_week3	71
U635_week1	137
U635_week3	120
U636_week1	115
U636_week3	107
U637_week1	124
U637_week3	101
U638_week1	80
U638_week3	82
U639_week1	109
U639_week3	103
U640_week1	115
U640_week3	93
U642_week1	159
U642_week3	139
U643_week1	129
U643_week3	133
U644_week1	83
U644_week3	117
U645_week1	108
U645_week3	114
U646_week1	161
U646_week3	138
U648_week1	129
U648_week3	119
U649_week1	112
U649_week3	106
U650_week1	79
U650_week3	90
U651_week1	119
U651_week3	107
U652_week1	139
U652_week3	125
U653_week3	113
U654_week1	105
U654_week3	125
U656_week1	145
U656_week3	120
U658_week1	109
U658_week3	119
U661_week1	126
U661_week3	117
U662_week1	150
U662_week3	146
U663_week1	132
U663_week3	136
U664_week1	125
U664_week3	111
U665_week1	125
U665_week3	163
U666_week1	138
U666_week3	126
U667_week1	105
U667_week3	117
U668_week1	138
U668_week3	150
U669_week1	107
U669_week3	115
U670_week1	120
U670_week3	137
U671_week1	144
U671_week3	155
U672_week3	106
U674_week1	119
U674_week3	93
U676_week1	82
U676_week3	87
U677_week1	147
U677_week3	170
U678_week1	100
U678_week3	113
U679_week1	143
U679_week3	142
U680_week1	131
U680_week3	127
U681_week1	182
U681_week3	169
U682_week3	104
U685_week1	149
U685_week3	128
U686_week1	138
U686_week3	150
U687_week1	156
U687_week3	160
U688_week1	103
U688_week3	99
U689_week1	143
U689_week3	139
U700_week1	96
U700_week3	99
U701_week1	137
U701_week3	129
U702_week1	134
U702_week3	117
U703_week1	127
U703_week3	138
U704_week1	129
U704_week3	121
U705_week1	106
U705_week3	112
U706_week1	111
U706_week3	110
U707_week1	132
U707_week3	124
U708_week1	140
U708_week3	126
U709_week1	128
U709_week3	122
U710_week1	122
U710_week3	132
U711_week1	102
U711_week3	98
U712_week1	153
U712_week3	135
U713_week1	143
U713_week3	94
U714_week1	102
U714_week3	83
U715_week1	112
U715_week3	119
U716_week1	95
U716_week3	118
U717_week1	132
U717_week3	128
U719_week1	129
U719_week3	113
U720_week1	95
U720_week3	100
U721_week1	127
U721_week3	124
U722_week1	100
U722_week3	112
U723_week1	96
U723_week3	101
U724_week1	91
U724_week3	104
U725_week1	144
U725_week3	142
U726_week1	99
U726_week3	104
U727_week1	125
U727_week3	124
U728_week1	124
U728_week3	143
U729_week1	4
U729_week3	128
U730_week1	133
U730_week3	127
U731_week1	130
U731_week3	144
U732_week1	132
U732_week3	142
U733_week1	119
U733_week3	86
U734_week1	122
U734_week3	120
U735_week1	116
U735_week3	103
U736_week1	82
U736_week3	68
U738_week1	124
U738_week3	138
U739_week1	134
U739_week3	134
U740_week1	74
U740_week3	115
U741_week1	120
U741_week3	110
U743_week3	122
U744_week1	126
U744_week3	121
U745_week1	105
U745_week3	106
U746_week1	100
U746_week3	113
U747_week1	117
U747_week3	96
U749_week1	162
U749_week3	132
U750_week1	118
U750_week3	139
U751_week1	126
U751_week3	126
U752_week1	91
U752_week3	97
U753_week1	143
U753_week3	117
U754_week3	94
U756_week1	151
U756_week3	138
U757_week1	71
U757_week3	73
U758_week1	140
U758_week3	111
U759_week1	111
U759_week3	118
U760_week1	109
U760_week3	97
U761_week1	172
U761_week3	157
U762_week1	94
U762_week3	84
U764_week1	136
U764_week3	122
U766_week1	121
U766_week3	98
U767_week1	122
U767_week3	116
U769_week1	144
U769_week3	137
U770_week1	136
U770_week3	126
U771_week1	77
U771_week3	77
U772_week1	98
U772_week3	89
U773_week1	139
U773_week3	146
U774_week1	141
U774_week3	153
U775_week1	116
U775_week3	102
U776_week1	138
U776_week3	152
U777_week1	81
U777_week3	96
U778_week1	124
U778_week3	122
U779_week1	127
U779_week3	117
U780_week1	116
U780_week3	108
U781_week1	107
U781_week3	97
U783_week1	124
U783_week3	129
U784_week1	107
U784_week3	92
U785_week1	150
U785_week3	145
U786_week1	145
U786_week3	139
U787_week1	187
U787_week3	150
U788_week1	114
U788_week3	139
U789_week1	103
U789_week3	122
U790_week1	126
U790_week3	115
U791_week1	147
U791_week3	154
U792_week1	138
U792_week3	120
U793_week1	108
U793_week3	117
U794_week1	116
U796_week1	123
U796_week3	128
U797_week1	136
U797_week3	118
U798_week1	126
U798_week3	102
U799_week1	108
U799_week3	115
